ID,Pokémon,Pokédex
60,Poliwag,"Poliwag tiene una cola que se mueve como un remolino, lo que le ayuda a nadar."
61,Poliwhirl,Poliwhirl es un Pokémon que puede generar poderosas olas con su cola.
62,Poliwrath,Poliwrath es un Pokémon fuerte que combina habilidades de lucha y agua en combate.
63,Abra,Abra es un Pokémon que duerme la mayor parte del tiempo y puede teletransportarse.
64,Kadabra,Kadabra es un Pokémon psíquico que utiliza su gran inteligencia para resolver problemas.
65,Alakazam,Alakazam tiene un cerebro extremadamente poderoso y puede recordar todo lo que ha aprendido.
66,Machop,Machop es un Pokémon que entrena constantemente para volverse más fuerte y ágil.
67,Machoke,Machoke es un Pokémon musculoso que se especializa en la lucha y la competencia.
68,Machamp,Machamp tiene cuatro brazos que le permiten realizar múltiples ataques a la vez.
69,Bellsprout,Bellsprout es un Pokémon que se alimenta de luz solar y puede moverse rápidamente.
70,Weepinbell,Weepinbell utiliza su boca en forma de campana para atrapar a sus presas.
71,Victreebel,Victreebel es un Pokémon carnívoro que atrae a sus presas con su aroma dulce.
72,Tentacool,Tentacool es un Pokémon que flota en el agua y utiliza sus tentáculos para defenderse.
73,Tentacruel,Tentacruel es un Pokémon que puede liberar veneno a través de sus tentáculos.
74,Geodude,Geodude es un Pokémon rocoso que puede rodar para moverse rápidamente.
75,Graveler,Graveler es un Pokémon que se siente más fuerte cuando está rodeado de rocas.
76,Golem,Golem es un Pokémon que puede causar terremotos al moverse y es extremadamente resistente.
77,Ponyta,Ponyta es un Pokémon que corre a gran velocidad y tiene una melena de llamas.
78,Rapidash,Rapidash es un Pokémon elegante que puede alcanzar velocidades impresionantes en carrera.
79,Slowpoke,"Slowpoke es un Pokémon tranquilo que a menudo se distrae, pero puede ser muy astuto cuando se lo propone."
80,Slowbro,"Slowbro es un Pokémon que se ha unido a un Shellder, lo que le otorga habilidades especiales."
81,Magnemite,Magnemite es un Pokémon eléctrico que flota gracias a su magnetismo y puede atraer objetos metálicos.
82,Magneton,Magneton es un Pokémon que se compone de tres Magnemite y puede generar potentes campos magnéticos.
83,Farfetch'd,"Farfetch'd es un Pokémon que siempre lleva un puerro, el cual utiliza como arma y herramienta."
84,Doduo,Doduo es un Pokémon que tiene dos cabezas y puede correr a gran velocidad para escapar de los peligros.
85,Dodrio,Dodrio es un Pokémon que tiene tres cabezas y es conocido por su increíble velocidad y agilidad.
86,Seel,Seel es un Pokémon acuático que se desliza sobre el hielo y es muy juguetón.
87,Dewgong,Dewgong es un Pokémon que puede nadar en aguas heladas y tiene una hermosa apariencia.
88,Grimer,Grimer es un Pokémon que se compone de desechos y puede deslizarse por cualquier superficie.
89,Muk,Muk es un Pokémon que emite un olor desagradable y puede causar problemas a quienes se acercan.
90,Shellder,Shellder se esconde en su caparazón y puede cerrar su concha para protegerse de los depredadores.
91,Cloyster,Cloyster es un Pokémon que puede lanzar potentes chorros de agua y tiene una defensa formidable.
92,Gastly,Gastly es un Pokémon fantasma que se disipa en el aire y puede asustar a sus enemigos.
93,Haunter,Haunter es un Pokémon que puede atravesar paredes y es conocido por su risa escalofriante.
94,Gengar,Gengar es un Pokémon que se esconde en las sombras y puede causar pesadillas a quienes lo ven.
95,Onix,Onix es un Pokémon rocoso que puede excavar túneles y es extremadamente resistente.
96,Drowzee,Drowzee es un Pokémon que se alimenta de los sueños de las personas y puede inducir el sueño.
97,Hypno,Hypno es un Pokémon que utiliza su péndulo para hipnotizar a sus enemigos y robar sus sueños.
98,Krabby,Krabby es un Pokémon cangrejo que se mueve rápidamente por la playa y es conocido por su pinza.
99,Kingler,Kingler es un Pokémon que tiene una pinza enorme y puede usarla para atacar con gran fuerza.
100,Voltorb,Voltorb es un Pokémon que se asemeja a una esfera y puede explotar si se siente amenazado.
101,Electrode,Electrode es la forma evolucionada de Voltorb y es conocido por su velocidad y explosividad.
102,Exeggcute,Exeggcute es un grupo de huevos que pueden comunicarse entre sí y se desarrollan en Exeggutor.
103,Exeggutor,Exeggutor es un Pokémon de múltiples cabezas que puede utilizar sus hojas para atacar.
104,Cubone,Cubone es un Pokémon que lleva un cráneo en la cabeza y llora la pérdida de su madre.
105,Marowak,Marowak es un Pokémon que se vuelve más fuerte al recordar a su madre y utiliza su hueso como arma.
106,Hitmonlee,Hitmonlee es un Pokémon experto en patadas y puede realizar movimientos acrobáticos impresionantes.
107,Hitmonchan,Hitmonchan es un Pokémon que se especializa en puñetazos y tiene un estilo de lucha único.
108,Lickitung,Lickitung es un Pokémon que utiliza su larga lengua para atrapar comida y explorar su entorno.
109,Koffing,Koffing es un Pokémon que emite gases tóxicos y puede causar problemas a quienes se acercan.
110,Weezing,Weezing es la forma evolucionada de Koffing y tiene dos cabezas que liberan veneno.
111,Rhyhorn,Rhyhorn es un Pokémon que se mueve a gran velocidad y tiene una piel dura como el acero.
112,Rhydon,Rhydon es un Pokémon poderoso que puede derribar muros con su fuerza y es conocido por su resistencia.
113,Chansey,Chansey es un Pokémon que cuida a los enfermos y es conocido por su naturaleza amable.
114,Tangela,Tangela es un Pokémon cubierto de enred
115,Kangaskhan,Kangaskhan es un Pokémon protector que lleva a su cría en su bolsa mientras lucha.
116,Horsea,Horsea es un Pokémon acuático que nada con gracia y puede disparar chorros de agua.
117,Seadra,Seadra es un Pokémon que puede nadar a gran velocidad y tiene una cola en forma de tridente.
118,Goldeen,Goldeen es un Pokémon que se encuentra en aguas dulces y es conocido por su belleza.
119,Seaking,Seaking es un Pokémon que puede saltar fuera del agua y es un hábil nadador.
120,Staryu,Staryu es un Pokémon que brilla en la oscuridad y puede regenerar sus extremidades.
121,Starmie,Starmie es un Pokémon que puede utilizar su joya central para lanzar potentes ataques.
122,Mr. Mime,Mr. Mime es un Pokémon que crea barreras invisibles y es conocido por su habilidad para imitar.
123,Scyther,Scyther es un Pokémon que se mueve rápidamente y utiliza sus cuchillas para atacar.
124,Jynx,Jynx es un Pokémon que puede hipnotizar a sus enemigos con su canto y es muy expresivo.
125,Electabuzz,Electabuzz es un Pokémon eléctrico que puede generar potentes descargas de energía.
126,Magmar,Magmar es un Pokémon de fuego que emite llamas y es conocido por su temperamento ardiente.
127,Pinsir,Pinsir es un Pokémon que utiliza sus poderosas pinzas para atrapar a sus presas.
128,Tauros,Tauros es un Pokémon fuerte y territorial que puede embestir a sus oponentes con gran fuerza.
129,Magikarp,"Magikarp es un Pokémon que parece débil, pero puede evolucionar en un poderoso Gyarados."
130,Gyarados,Gyarados es un Pokémon feroz que puede causar estragos con su fuerza y habilidades de agua.
131,Lapras,Lapras es un Pokémon que transporta a las personas a través del agua y es conocido por su amabilidad.
132,Ditto,Ditto es un Pokémon que puede transformarse en cualquier otro Pokémon que vea.
133,Eevee,"Eevee es un Pokémon que tiene múltiples evoluciones, lo que lo hace muy versátil."
134,Vaporeon,"Vaporeon es la evolución de agua de Eevee, capaz de nadar y manipular el agua."
135,Jolteon,"Jolteon es la evolución eléctrica de Eevee, conocido por su velocidad y agilidad."
136,Flareon,"Flareon es la evolución de fuego de Eevee, que puede liberar intensas llamas."
137,Porygon,Porygon es un Pokémon digital que puede adaptarse a diferentes entornos virtuales.
138,Omanyte,Omanyte es un Pokémon fósil que revive del pasado y tiene un caparazón en espiral.
139,Omastar,"Omastar es la evolución de Omanyte, con tentáculos que utiliza para atrapar a sus presas."
140,Kabuto,Kabuto es un Pokémon fósil que se asemeja a un cangrejo y es muy ágil en el agua.
141,Kabutops,"Kabutops es la evolución de Kabuto, con afiladas cuchillas que utiliza para cazar."
142,Aerodactyl,Aerodactyl es un Pokémon volador fósil que puede atacar desde el aire con gran velocidad.
143,Snorlax,Snorlax es un Pokémon que duerme mucho y es conocido por su gran tamaño y fuerza.
144,Articuno,Articuno es un Pokémon legendario de hielo que puede controlar la nieve y el frío.
145,Zapdos,Zapdos es un Pokémon legendario eléctrico que puede generar tormentas eléctricas.
146,Moltres,Moltres es un Pokémon legendario de fuego que puede volar a grandes altitudes.
147,Dratini,Dratini es un Pokémon serpiente que sueña con convertirse en un poderoso Dragón.
148,Dragonair,"Dragonair es la evolución de Dratini, elegante y capaz de controlar el clima."
149,Dragonite,Dragonite es un Pokémon dragón que puede volar a gran velocidad y es muy amistoso.
150,Mewtwo,"Mewtwo es un Pokémon legendario creado a partir de la manipulación genética, con poderes psíquicos extraordinarios."
151,Mew,"Mew es un Pokémon mítico que posee el ADN de todos los Pokémon, lo que le otorga habilidades únicas."
